Used Street,Standard
US HIGHWAY,HWY
PLACE,PL
AVENUE EXTENSION,AVE EXTENSION
EXT,EXTENSION
RTE,ROUTE
RT,ROUTE
US ROUTE,ROUTE
US RTE,ROUTE
CR,COUNTY ROUTE
COUNTY RT,COUNTY ROUTE
COUNTY RTE,COUNTY ROUTE
CTY RT,COUNTY ROUTE
CO RT,COUNTY ROUTE
CO ROUTE,COUNTY ROUTE
NYS ROUTE,STATE ROUTE
NY ROUTE,STATE ROUTE
STATE RTE,STATE ROUTE
STATE RT,STATE ROUTE
SOUTH,S
SO,S
EAST,E
EATS,E
EAAST,E
NORTH,N
WEST,W
ALLEE,ALY
ALLEY,ALY
ALLY,ALY
ALY,ALY
ANEX,ANX
ANNEX,ANX
ANNX,ANX
ANX,ANX
ARC,ARC
ARCADE,ARC
AV,AVE
AVE,AVE
AVEN,AVE
AVENU,AVE
AVENUE,AVE
AVN,AVE
AVNUE,AVE
BAYOO,BYU
BAYOU,BYU
BCH,BCH
BEACH,BCH
BEND,BND
BND,BND
BLF,BLF
BLUF,BLF
BLUFF,BLF
BLUFFS,BLFS
BOT,BTM
BTM,BTM
BOTTM,BTM
BOTTOM,BTM
BLVD,BLVD
BOUL,BLVD
BOULEVARD,BLVD
BOULV,BLVD
BR,BR
BRNCH,BR
BRANCH,BR
BRDGE,BRG
BRG,BRG
BRIDGE,BRG
BRK,BRK
BROOK,BRK
BROOKS,BRKS
BURG,BG
BURGS,BGS
BYP,BYP
BYPA,BYP
BYPAS,BYP
BYPASS,BYP
BYPS,BYP
CAMP,CP
CP,CP
CMP,CP
CANYN,CYN
CANYON,CYN
CNYN,CYN
CAPE,CPE
CPE,CPE
CAUSEWAY,CSWY
CAUSWA,CSWY
CSWY,CSWY
CEN,CTR
CENT,CTR
CENTER,CTR
CENTR,CTR
CENTRE,CTR
CNTER,CTR
CNTR,CTR
CTR,CTR
CENTERS,CTRS
CIR,CIR
CIRC,CIR
CIRCL,CIR
CIRCLE,CIR
CRCL,CIR
CRCLE,CIR
CIRCLES,CIRS
CLF,CLF
CLIFF,CLF
CLFS,CLFS
CLIFFS,CLFS
CLB,CLB
CLUB,CLB
COMMON,CMN
COMMONS,CMNS
COR,COR
CORNER,COR
CORNERS,CORS
CORS,CORS
COURSE,CRSE
CRSE,CRSE
COURT,CT
CT,CT
COURTS,CTS
CTS,CTS
COVE,CV
CV,CV
COVES,CVS
CREEK,CRK
CRK,CRK
CRESCENT,CRES
CRES,CRES
CRSENT,CRES
CRSNT,CRES
CREST,CRST
CROSSING,XING
CRSSNG,XING
XING,XING
CROSSROAD,XRD
CROSSROADS,XRDS
CURVE,CURV
DALE,DL
DL,DL
DAM,DM
DM,DM
DIV,DV
DIVIDE,DV
DV,DV
DVD,DV
DR,DR
DRIV,DR
DRIVE,DR
DRV,DR
DRIVES,DRS
EST,EST
ESTATE,EST
ESTATES,ESTS
ESTS,ESTS
EXP,EXPY
EXPR,EXPY
EXPRESS,EXPY
EXPRESSWAY,EXPY
EXPW,EXPY
EXPY,EXPY
EXT,EXT
EXTN,EXT
EXTNSN,EXT
EXTS,EXTS
FALL,FALL
FALLS,FLS
FLS,FLS
FERRY,FRY
FRRY,FRY
FRY,FRY
FIELD,FLD
FLD,FLD
FIELDS,FLDS
FLDS,FLDS
FLAT,FLT
FLT,FLT
FLATS,FLTS
FLTS,FLTS
FORD,FRD
FRD,FRD
FORDS,FRDS
FOREST,FRST
FORESTS,FRST
FRST,FRST
FORG,FRG
FORGE,FRG
FRG,FRG
FORGES,FRGS
FORK,FRK
FRK,FRK
FORKS,FRKS
FRKS,FRKS
FORT,FT
FRT,FT
FT,FT
FREEWAY,FWY
FREEWY,FWY
FRWAY,FWY
FRWY,FWY
FWY,FWY
GARDEN,GDN
GARDN,GDN
GRDEN,GDN
GRDN,GDN
GARDENS,GDNS
GDNS,GDNS
GRDNS,GDNS
GATEWAY,GTWY
GATEWY,GTWY
GATWAY,GTWY
GTWAY,GTWY
GTWY,GTWY
GLEN,GLN
GLN,GLN
GLENS,GLNS
GREEN,GRN
GRN,GRN
GREENS,GRNS
GROV,GRV
GROVE,GRV
GRV,GRV
GROVES,GRVS
HARB,HBR
HARBOR,HBR
HARBR,HBR
HBR,HBR
HRBOR,HBR
HARBORS,HBRS
HAVEN,HVN
HVN,HVN
HT,HTS
HTS,HTS
HIGHWAY,HWY
HIGHWY,HWY
HIWAY,HWY
HIWY,HWY
HWAY,HWY
HWY,HWY
HILL,HL
HL,HL
HILLS,HLS
HLS,HLS
HLLW,HOLW
HOLLOW,HOLW
HOLLOWS,HOLW
HOLW,HOLW
HOLWS,HOLW
INLT,INLT
IS,IS
ISLAND,IS
ISLND,IS
ISLANDS,ISS
ISLNDS,ISS
ISS,ISS
ISLE,ISLE
ISLES,ISLE
JCT,JCT
JCTION,JCT
JCTN,JCT
JUNCTION,JCT
JUNCTN,JCT
JUNCTON,JCT
JCTNS,JCTS
JCTS,JCTS
JUNCTIONS,JCTS
KEY,KY
KY,KY
KEYS,KYS
KYS,KYS
KNL,KNL
KNOL,KNL
KNOLL,KNL
KNLS,KNLS
KNOLLS,KNLS
LK,LK
LAKE,LK
LKS,LKS
LAKES,LKS
LAND,LAND
LANDING,LNDG
LNDG,LNDG
LNDNG,LNDG
LANE,LN
LN,LN
LGT,LGT
LIGHT,LGT
LIGHTS,LGTS
LF,LF
LOAF,LF
LCK,LCK
LOCK,LCK
LCKS,LCKS
LOCKS,LCKS
LDG,LDG
LDGE,LDG
LODG,LDG
LODGE,LDG
LOOP,LOOP
LOOPS,LOOP
MALL,MALL
MNR,MNR
MANOR,MNR
MANORS,MNRS
MNRS,MNRS
MEADOW,MDW
MDW,MDWS
MDWS,MDWS
MEADOWS,MDWS
MEDOWS,MDWS
MEWS,MEWS
MILL,ML
MILLS,MLS
MISSN,MSN
MSSN,MSN
MOTORWAY,MTWY
MNT,MT
MT,MT
MOUNT,MT
MNTAIN,MTN
MNTN,MTN
MOUNTAIN,MTN
MOUNTIN,MTN
MTIN,MTN
MTN,MTN
MNTNS,MTNS
MOUNTAINS,MTNS
NCK,NCK
NECK,NCK
ORCH,ORCH
ORCHARD,ORCH
ORCHRD,ORCH
OVAL,OVAL
OVL,OVAL
OVERPASS,OPAS
PARK,PARK
PRK,PARK
PARKS,PARK
PARKWAY,PKWY
PARKWY,PKWY
PKWAY,PKWY
PKWY,PKWY
PKY,PKWY
PARKWAYS,PKWY
PKWYS,PKWY
PASS,PASS
PASSAGE,PSGE
PATH,PATH
PATHS,PATH
PIKE,PIKE
PIKES,PIKE
PINE,PNE
PINES,PNES
PNES,PNES
PL,PL
PLAIN,PLN
PLN,PLN
PLAINS,PLNS
PLNS,PLNS
PLAZA,PLZ
PLZ,PLZ
PLZA,PLZ
POINT,PT
PT,PT
POINTS,PTS
PTS,PTS
PORT,PRT
PRT,PRT
PORTS,PRTS
PRTS,PRTS
PR,PR
